"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.05","","","","","1.05","","","","","1.05","","","","","1.05","","","","","1.05","","","","","1.05","","","1.05","","1.05","","","","","1.05","","","","","1.05","","","","","1.05","1.05","1.05","1.05","1.05","1.05","1.05","1.05","1.05","1.05","1.05","1.05","","",
"Afghanistan","AFG","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.06","","","","","1.06","","","","","1.06","","","","","1.06","","","","","1.06","","","","","1.06","","","1.06","","1.06","","","","","1.06","","","","","1.06","","","","","1.06","1.06","1.06","1.06","1.06","1.06","1.06","1.06","1.06","1.06","1.06","1.06","","",
"Angola","AGO","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.02","","","","","1.02","","","","","1.02","","","","","1.02","","","","","1.02","","","","","1.02","","","1.02","","1.02","","","","","1.02","","","","","1.02","","","","","1.02","1.022","1.024","1.026","1.028","1.03","1.03","1.03","1.03","1.03","1.03","1.03","","",
"Albania","ALB","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.06","","","","","1.062","","","","","1.066","","","","","1.074","","","","","1.085","","","","","1.08","","","1.084","","1.086","","","","","1.094","","","","","1.116","","","","","1.122","1.118","1.113","1.109","1.104","1.1","1.097","1.094","1.092","1.089","1.086","1.085","","",
"Andorra","AND","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.05149404347994","","","","","1.05148251737361","","","","","1.05151558946732","","","","","1.05120757281575","","","","","1.0508047272216","","","","","1.05129513256214","","","1.05142815201471","","1.0516527870658","","","","","1.05172176899262","","","","","1.05301498489071","","","","","1.05265552745701","1.05266754223939","1.05270859089856","1.05284978327889","1.05291078769991","1.05295596083286","1.05275425835243","1.05250934021498","1.05195853566488","1.05164156774575","1.05131152985651","1.05124145926521","","",
"United Arab Emirates","ARE","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.045","","","","","1.045","","","","","1.045","","","","","1.045","","","","","1.045","","","","","1.045","","","1.045","","1.045","","","","","1.045","","","","","1.045","","","","","1.045","1.045","1.045","1.045","1.045","1.045","1.045","1.045","1.045","1.045","1.045","1.045","","",
"Argentina","ARG","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.04","","","","","1.04","","","","","1.04","","","","","1.04","","","","","1.04","","","","","1.04","","","1.04","","1.04","","","","","1.04","","","","","1.04","","","","","1.04","1.04","1.04","1.04","1.04","1.04","1.04","1.04","1.04","1.04","1.04","1.04","","",
"Armenia","ARM","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.064","","","","","1.064","","","","","1.057","","","","","1.052","","","","","1.05","","","","","1.058","","","1.069","","1.077","","","","","1.151","","","","","1.173","","","","","1.151","1.148","1.146","1.143","1.141","1.138","1.133","1.128","1.123","1.118","1.113","1.109","","",
"American Samoa","ASM","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.03","","","","","1.03","","","","","1.03","","","","","1.03","","","","","1.03","","","","","1.03","","","1.03","","1.03","","","","","1.03","","","","","1.03","","","","","1.03","1.03","1.03","1.03","1.03","1.03","1.03","1.03","1.03","1.03","1.03","1.03","","",
"Australia","AUS","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.058","","","","","1.055","","","","","1.053","","","","","1.056","","","","","1.055","","","","","1.054","","","1.055","","1.056","","","","","1.054","","","","","1.055","","","","","1.056","1.056","1.056","1.057","1.057","1.057","1.057","1.056","1.056","1.055","1.055","1.055","","",
"Austria","AUT","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.055","","","","","1.055","","","","","1.055","","","","","1.055","","","","","1.055","","","","","1.055","","","1.055","","1.055","","","","","1.055","","","","","1.055","","","","","1.055","1.055","1.055","1.055","1.055","1.055","1.055","1.055","1.055","1.055","1.055","1.055","","",
"Azerbaijan","AZE","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.062","","","","","1.062","","","","","1.062","","","","","1.062","","","","","1.062","","","","","1.062","","","1.073","","1.08","","","","","1.13","","","","","1.17","","","","","1.166","1.164","1.163","1.161","1.16","1.158","1.151","1.145","1.138","1.132","1.125","1.124","","",
"Burundi","BDI","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.03","","","","","1.03","","","","","1.03","","","","","1.03","","","","","1.03","","","","","1.03","","","1.03","","1.03","","","","","1.03","","","","","1.03","","","","","1.03","1.03","1.03","1.03","1.03","1.03","1.03","1.03","1.03","1.03","1.03","1.03","","",
"Belgium","BEL","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.059","","","","","1.059","","","","","1.058","","","","","1.059","","","","","1.057","","","","","1.058","","","1.054","","1.051","","","","","1.043","","","","","1.05","","","","","1.05","1.05","1.05","1.05","1.05","1.05","1.05","1.05","1.05","1.05","1.05","1.05","","",
"Benin","BEN","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.041","","","","","1.041","","","","","1.041","","","","","1.041","","","","","1.041","","","","","1.041","","","1.041","","1.041","","","","","1.041","","","","","1.041","","","","","1.041","1.041","1.041","1.041","1.041","1.041","1.041","1.041","1.041","1.041","1.041","1.041","","",
"Burkina Faso","BFA","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.046","","","","","1.046","","","","","1.046","","","","","1.046","","","","","1.046","","","","","1.046","","","1.046","","1.046","","","","","1.046","","","","","1.046","","","","","1.046","1.046","1.046","1.046","1.046","1.046","1.046","1.046","1.046","1.046","1.046","1.046","","",
